linha_id,linha,sistema,subsistema,operador,fase,etapa,status,placemark,segmento,ordem_ponto,latitude,longitude,origem_aba,cidade,estacao_id,distrito
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,649,-23.546028341765,-46.6633653458527,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,650,-23.5460757988405,-46.66327670563749,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,651,-23.5461203939126,-46.6631863338779,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,652,-23.5461620733513,-46.66309433925189,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,653,-23.5462007870332,-46.6630008323896,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,654,-23.5462259110173,-46.6629351124502,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,655,-23.5462514723469,-46.6628637516732,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,656,-23.546273725478,-46.66279774544971,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,657,-23.5462970101695,-46.6627247434173,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,658,-23.546316845406,-46.66265939996771,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,659,-23.546338634395,-46.6625844802716,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,660,-23.5463562088742,-46.6625218764914,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,661,-23.5463776179155,-46.6624435086328,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,662,-23.5463902434145,-46.6623964300086,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,663,-23.5464152547726,-46.6623022892561,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,664,-23.5468638601587,-46.6606084286953,metropolitano,São Paulo,angelica,kml_84
