estacao_id,nome_da_estacao,sistema,subsistema,operador,linha,fase,etapa,status,servico_expresso,latitude,longitude,origem_aba,cidade,distrito
agua_fria,Água Fria,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase III - Extensão para Tremembé,Etapa Única,desconhecido,Não,-23.48560858032616,-46.61984310892183,dados,São Paulo,kml_51
nova_cantareira,Nova Cantareira,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase III - Extensão para Tremembé,Etapa Única,desconhecido,Não,-23.4733009669733,-46.61861534910669,dados,São Paulo,kml_96
invernada,Invernada,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase III - Extensão para Tremembé,Etapa Única,desconhecido,Não,-23.46526607098447,-46.61601083678743,dados,São Paulo,kml_96
tremembe,Tremembé,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase III - Extensão para Tremembé,Etapa Única,desconhecido,Não,-23.45841869845126,-46.61024796244108,dados,São Paulo,kml_25
maria_amalia,Maria Amália,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase IV - Extensão para Fontális,Etapa Única,desconhecido,Não,-23.45669714048412,-46.59963552711881,dados,São Paulo,kml_25
josino_vieira,Josino Vieira,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase IV - Extensão para Fontális,Etapa Única,desconhecido,Não,-23.45015388916683,-46.59412112948294,dados,São Paulo,kml_25
jd_fontalis,Jd. Fontális,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase IV - Extensão para Fontális,Etapa Única,desconhecido,Não,-23.44545938529308,-46.58979832160284,dados,São Paulo,kml_25
parque_da_mooca,Parque da Mooca ● ◆,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 06 - Laranja,Fase I - Extensão até Vila Industrial ❸,Etapa Única,desconhecido,Sim,-23.56908421967284,-46.58894487142079,dados,São Paulo,kml_63
chamanta,Chamantá ●,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 06 - Laranja,Fase I - Extensão até Vila Industrial ❸,Etapa Única,desconhecido,Não,-23.57675202726264,-46.58736044662851,dados,São Paulo,kml_63
vila_prudente,Vila Prudente ● ◆,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 06 - Laranja,Fase I - Extensão até Vila Industrial ❸,Etapa Única,desconhecido,Sim,-23.58457861185622,-46.58658828986258,dados,São Paulo,kml_6
