route_id,route_short_name,route_long_name,agency_id,sistema,subsistema,status,grupo_mode,lote_mode,empresa_mode,consorcio_operador,area_operacional_num_1a9,nome,area_operacional_hex_cor,cidade
7006-10,7006-10,Jd. Horizonte Azul - Jd. âNgela,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7006-51,7006-51,Jd. Horizonte Azul - Metrô Capão Redondo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7009-10,7009-10,Jd. São Lourenço - Jd. âNgela,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7011-10,7011-10,Jd. Dos Reis - Jd. âNgela,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7011-31,7011-31,Jd. Dos Reis - Jd. âNgela,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7012-10,7012-10,Pq. Do Lago - Term. Guarapiranga,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7013-10,7013-10,Pq. Arariba - Term. Vl. Sônia,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D12,TransCap,Bless,,,,São Paulo
7016-10,7016-10,Jd. âNgela - Term. Sto. Amaro,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
7016-21,7016-21,Vl. Sta. Lúcia - Term. Sto. Amaro,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
7017-10,7017-10,Jd. Guarujá - Term. Guarapiranga,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
701A-10,701A-10,Pq. Edu Chaves - Metrô Vl. Madalena,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E02,Sambaiba,,,,,São Paulo
701H-10,701H-10,Hospital Guarapiranga - Circular,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
701U-10,701U-10,Metrô Santana - Cid. Universitária,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E02,Sambaiba,,,,,São Paulo
7021-10,7021-10,Jd. Maracá - Term. João Dias,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
7022-10,7022-10,Jd. Caiçara - Term. Sto. Amaro,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
7023-10,7023-10,Jd. Nakamura - Term. Sto. Amaro,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
702C-10,702C-10,Jd. Bonfiglioli - Metrô Belém,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E08,Transppass,,,,,São Paulo
702U-10,702U-10,Cid. Universitária - Term. Pq. D. Pedro Ii,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR8,Gato Preto,Gato Preto,8.0,Área 8,#FF5205,São Paulo
